id;Secteur;Code_sec;Communes;Code_INSEE;Com_Corse
1;A Punta di Lòsari;BEL01;Belgodere;2B034;Belgudè
2;Lòsari;BEL02;Belgodere;2B034;Belgudè
3;E Màrghjine;PAL01;Palasca;2B199;Palasca
4;U Pinzu di u Corbu;PAL02;Palasca;2B199;Palasca
5;L'Ostriconi;PAL03;Palasca;2B199;Palasca
6;A Piaghja Secca;PAL04;Palasca;2B199;Palasca
7;A Punta di l'Acciolu;PAL05;Palasca;2B199;Palasca
8;L'Acciolu;SGT01;San-Gavino-di-Tenda;2B301;San Gavinu di Tenda
9;Calisuppa;SGT02;San-Gavino-di-Tenda;2B301;San Gavinu di Tenda
10;A Punta à e Solche;SGT03;San-Gavino-di-Tenda;2B301;San Gavinu di Tenda
11;L'Algaghju;SGT04;San-Gavino-di-Tenda;2B301;San Gavinu di Tenda
12;Tagliacarne;SPT01;Santo-Pietro-di-Tenda;2B314;Santu Petru di Tenda
13;Malfalcu;SPT02;Santo-Pietro-di-Tenda;2B314;Santu Petru di Tenda
14;A Petr'Alta;SPT03;Santo-Pietro-di-Tenda;2B314;Santu Petru di Tenda
15;Ghignu;SPT04;Santo-Pietro-di-Tenda;2B314;Santu Petru di Tenda
16;U Travu;SPT05;Santo-Pietro-di-Tenda;2B314;Santu Petru di Tenda
17;A Punta di a Mignola;SPT06;Santo-Pietro-di-Tenda;2B314;Santu Petru di Tenda
18;Saleccia;SPT07;Santo-Pietro-di-Tenda;2B314;Santu Petru di Tenda
19;A Punta à a Curza;SPT08;Santo-Pietro-di-Tenda;2B314;Santu Petru di Tenda
20;Lotu;STF01;Saint-Florent;2B298;San Fiurenzu
21;Mezzanu;STF02;Saint-Florent;2B298;San Fiurenzu
22;A Pignatta;STF03;Saint-Florent;2B298;San Fiurenzu
23;A Torra di Murtella;STF04;Saint-Florent;2B298;San Fiurenzu
24;Fiume Santu;STF05;Saint-Florent;2B298;San Fiurenzu
25;Fiume Bughju;STF06;Saint-Florent;2B298;San Fiurenzu
26;U Stintinu;STF07;Saint-Florent;2B298;San Fiurenzu
27;Fòrnali;STF08;Saint-Florent;2B298;San Fiurenzu
28;L'Occhjinese;STF09;Saint-Florent;2B298;San Fiurenzu
29;A Roia;STF10;Saint-Florent;2B298;San Fiurenzu
30;La Crique;STF11;Saint-Florent;2B298;San Fiurenzu
31;L'Ospidale;STF12;Saint-Florent;2B298;San Fiurenzu
32;Tettola;STF13;Saint-Florent;2B298;San Fiurenzu
33;Olzu;PAT01;Patrimonio;2B205;Patrimoniu
34;Patrimoniu;PAT02;Patrimonio;2B206;Patrimoniu
35;Salzetta;FAR01;Farinole;2B109;Ferrìngule
36;E Catarelle;FAR02;Farinole;2B109;Ferrìngule
37;A Torra di Ferrìngule;FAR03;Farinole;2B109;Ferrìngule
38;Ferrìngule;FAR04;Farinole;2B109;Ferrìngule
39;U Scogliu di Ferrìngule;ODC01;Olmeta-di-Capocorso;2B187;Olmeta di Capicorsu
40;A Torra di Negru;ODC02;Olmeta-di-Capocorso;2B187;Olmeta di Capicorsu
41;A Secca di u Vescu;NON01;Nonza;2B178;Nonza
42;Nonza;NON02;Nonza;2B178;Nonza
43;Baracaraghju;NON03;Nonza;2B178;Nonza
44;A Punta d'Albu;OGL01;Ogliastro;2B183;Ogliastru
45;Albu;OGL02;Ogliastro;2B183;Ogliastru
46;A Punta di e Canelle;CAN01;Canari;2B058;Canari
47;A Punta di Marinca;CAN02;Canari;2B058;Canari
48;A Marina di Ghjòttani;BAR01;Barrettali;2B030;Barrettali
49;A Punta di Minerviu;BAR02;Barrettali;2B030;Barrettali
50;U Capizzolu;PIN01;Pino;2B233;Pinu
51;A Marina di Scalu;PIN02;Pino;2B233;Pinu
52;E Calelle;PIN03;Pino;2B233;Pinu
53;Alisgiu;MOR01;Morsiglia;2B170;Mursiglia
54;Fondu Biancu;MOR02;Morsiglia;2B170;Mursiglia
55;E Mute;CEN01;Centuri;2B086;Cinturi
56;U Portu di Cinturi;CEN02;Centuri;2B086;Cinturi
57;A Bulzaghja;CEN03;Centuri;2B086;Cinturi
58;A Testa;CEN04;Centuri;2B086;Cinturi
59;A Cala à Ànghjulu;CEN05;Centuri;2B086;Cinturi
60;A Punta Bianca;CEN06;Centuri;2B086;Cinturi
61;Cornu di Beccu;CEN07;Centuri;2B086;Cinturi
62;Monte Grossu;ERS01;Ersa;2B107;Ersa
63;L'Arinella;ERS02;Ersa;2B107;Ersa
64;A Punta di Tòllari;ERS03;Ersa;2B107;Ersa
65;Tòllari;ERS04;Ersa;2B107;Ersa
66;L'Arena;ERS05;Ersa;2B107;Ersa
67;A Marina d'Ersa;ERS06;Ersa;2B107;Ersa
68;A Giraglia;ROG01;Rogliano;2B261;Ruglianu
69;Barcaghju;ROG02;Rogliano;2B261;Ruglianu
70;A Punta d'Agnellu;ROG03;Rogliano;2B261;Ruglianu
71;A Torra d'Agnellu;ROG04;Rogliano;2B261;Ruglianu
72;Capànnula;ROG05;Rogliano;2B261;Ruglianu
73;A Punta di Capànnula;ROG06;Rogliano;2B261;Ruglianu
74;A Cala Francesa;ROG07;Rogliano;2B261;Ruglianu
75;A Cala Genovese;ROG08;Rogliano;2B261;Ruglianu
76;Santa Marìa;ROG09;Rogliano;2B261;Ruglianu
77;E Finocchjarole;ROG10;Rogliano;2B261;Ruglianu
78;Tamarone;ROG11;Rogliano;2B261;Ruglianu
79;A Punta d'a Coscia;ROG12;Rogliano;2B261;Ruglianu
80;Padulu;ROG13;Rogliano;2B261;Ruglianu
81;U Portu di Macinaghju;ROG14;Rogliano;2B261;Ruglianu
82;E Secche di Tuminu;TOM01;Tomino;2B327;Tuminu
83;A Marina di Meria;MER01;Meria;2B159;Meria
84;A Coda d'a Golpe;MER02;Meria;2B159;Meria
85;Murteta;MER03;Meria;2B159;Meria
86;A Furnace;LUR01;Luri;2B152;Luri
87;U Portu di Santa Suvera;LUR02;Luri;2B152;Luri
88;Misincu;CAG01;Cagnano;2B046;Cagnanu
89;A Marina di Purticciolu;CAG02;Cagnano;2B046;Cagnanu
90;U Calancò;CAG03;Cagnano;2B046;Cagnanu
91;A Torra à l'Osse;PIE01;Pietracorbara;2B224;Petracurbara
92;A Punta à a Scopa;PIE02;Pietracorbara;2B224;Petracurbara
93;Ampuglia;PIE03;Pietracorbara;2B224;Petracurbara
94;A Pìccula Làvura;PIE04;Pietracorbara;2B224;Petracurbara
95;A Grotta di Santa Catalina;SIS01;Sisco;2B281;Siscu
96;A Torra di Siscu;SIS02;Sisco;2B281;Siscu
97;A Vecchja;SIS03;Sisco;2B281;Siscu
98;Sacru;BRA01;Brando;2B043;Brandu
99;U Tavulinu;BRA02;Brando;2B043;Brandu
100;A Grotta Murata;BRA03;Brando;2B043;Brandu
101;Terre Rosse;BRA04;Brando;2B043;Brandu
102;Erbalunga;BRA05;Brando;2B043;Brandu
103;A Punta à a Torra;BRA06;Brando;2B043;Brandu
104;A Marmuraghja;BRA07;Brando;2B043;Brandu
105;Petriconi;BRA08;Brando;2B043;Brandu
106;Lavasina;BRA09;Brando;2B043;Brandu
107;A Funtana di i Frati;BRA10;Brando;2B043;Brandu
108;U Vultoghju;SMA01;Santa-Maria-di-Lota;2B309;Santa Maria di Lota
109;A Caletta;SMA02;Santa-Maria-di-Lota;2B309;Santa Maria di Lota
110;E Salighjine;SMA03;Santa-Maria-di-Lota;2B309;Santa Maria di Lota
111;A Torra di Miómu;SMA04;Santa-Maria-di-Lota;2B309;Santa Maria di Lota
112;A Ricciola;SMO01;San-Martino-di-Lota;2B305;San Martinu di Lota
113;Grisgiò;SMO02;San-Martino-di-Lota;2B305;San Martinu di Lota
114;A Grotta Piatta;SMO03;San-Martino-di-Lota;2B305;San Martinu di Lota
115;U Pentecò;SMO04;San-Martino-di-Lota;2B305;San Martinu di Lota
116;A Calavita;SMO05;San-Martino-di-Lota;2B305;San Martinu di Lota
117;U Flenu;SMO06;San-Martino-di-Lota;2B305;San Martinu di Lota
118;U Palacacciu;SMO07;San-Martino-di-Lota;2B305;San Martinu di Lota
119;U Pétràculu;VDP01;Ville-di-Pietrabugno;2B353;E Ville di Petrabugnu
120;I Minelli;VDP02;Ville-di-Pietrabugno;2B353;E Ville di Petrabugnu
121;U Portu di Toga;VDP03;Ville-di-Pietrabugno;2B353;E Ville di Petrabugnu
